Annual Subway Ridership,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2018,2019,2020,2021,2022,2023,2022-2023 Change,,2023 Rank
Ocean Pkwy (Q),,B,1018695,1033340,462997.971,548606,665586,#NAME?,#NAME?,#NAME?,#NAME?
Park Pl (S),,B,537340,519984,214949.97,259323,326818,#NAME?,#NAME?,#NAME?,#NAME?
Parkside Av (Q),,B,1979647,1955051,861895.946,1070163,1256444,#NAME?,#NAME?,#NAME?,#NAME?
Pennsylvania Av (3),,B,1279685,1360708,662595.987,719312,792673,#NAME?,#NAME?,#NAME?,#NAME?
"President St (2,5)",,B,1197019,1037219,443228.921,559407,692595,#NAME?,#NAME?,#NAME?,#NAME?
Prospect Av (R),,B,1638002,1780893,676624.034,885878,1175311,#NAME?,#NAME?,#NAME?,#NAME?
"Prospect Park (B,Q,S)",,B,3289464,3323334,1261500.983,1604509,2077169,#NAME?,#NAME?,#NAME?,#NAME?
Ralph Av (C),,B,1850375,1829126,818101.033,878860,1010247,#NAME?,#NAME?,#NAME?,#NAME?
Rockaway Av (3),,B,1412271,1451431,722986.017,764655,812348,#NAME?,#NAME?,#NAME?,#NAME?
Rockaway Av (C),,B,1790683,1787343,781384.978,837692,988760,#NAME?,#NAME?,#NAME?,#NAME?
Saratoga Av (3),,B,1535733,1556357,786159.98,841082,920284,#NAME?,#NAME?,#NAME?,#NAME?
"Sheepshead Bay (B,Q)",,B,4183545,4169796,1772097.909,2052229,2519233,#NAME?,#NAME?,#NAME?,#NAME?
Shepherd Av (C),,B,990387,977012,449143.933,472122,542269,#NAME?,#NAME?,#NAME?,#NAME?
"Smith-9 Sts (F,G)",,B,1466151,1435824,609725.02,698444,881979,#NAME?,#NAME?,#NAME?,#NAME?
"Sterling St. (2,5)",,B,1753125,1654809,745894.936,911058,1128133,#NAME?,#NAME?,#NAME?,#NAME?
Sutter Av (L),,B,1246958,1047762,483645.029,512751,504518,#NAME?,#NAME?,#NAME?,#NAME?
Sutter Av-Rutland Rd (3),,B,1968448,2019485,995590.049,1056784,1184067,#NAME?,#NAME?,#NAME?,#NAME?
Union St (R),,B,2090848,2271983,808041.98,1093965,1457176,#NAME?,#NAME?,#NAME?,#NAME?
"Utica Av (A,C)",,B,5195786,5106247,2085483.051,2249322,2671676,#NAME?,#NAME?,#NAME?,#NAME?
Van Siclen Av (3),,B,854150,853106,413650.005,413686,473728,#NAME?,#NAME?,#NAME?,#NAME?
Van Siclen Av (C),,B,955230,918811,437289.996,442084,501085,#NAME?,#NAME?,#NAME?,#NAME?
"Van Siclen Av (J,Z)",,B,818735,791691,416713.002,459448,504052,#NAME?,#NAME?,#NAME?,#NAME?
"West 8 St-New York Aquarium (F,Q)",,B,818685,837836,315691.085,431449,583500,#NAME?,#NAME?,#NAME?,#NAME?
Wilson Av (L),,B,1420065,1290221,587630.011,761687,923267,#NAME?,#NAME?,#NAME?,#NAME?
"Winthrop St (2,5)",,B,2140028,1882065,974252.979,1203929,1499531,#NAME?,#NAME?,#NAME?,#NAME?
York St (F),,B,3256154,3927129,1257102.977,1561021,2551202,#NAME?,#NAME?,#NAME?,#NAME?
Manhattan,,,,,,,,,,,
1 Av (L),,M,6743140,5345371,2177283.989,3960124,5337253,#NAME?,#NAME?,#NAME?,#NAME?
